SGG_CD,SGG_NM,BJDONG_CD,BJDONG_NM,BOBN,BUBN,FLR_NO,CNTRCT_DE,RENT_GBN,RENT_AREA,RENT_GTN,RENT_FEE,BLDG_NM,BUILD_YEAR,HOUSE_GBN_NM
11140,중구,16500,황학동,0819,0000,13.0,2023-01-31,전세,22.52,16000,0,	DUO302	,2014,오피스텔
11560,영등포구,11800,도림동,0265,0001,8.0,2023-01-31,전세,48.75,25000,0,	도림동 하나아파텔(1차)	,2003,오피스텔
11230,동대문구,10400,전농동,0103,0276,5.0,2023-01-31,월세,63.16,22000,19,(103-276),2007,연립다세대
11620,관악구,10300,남현동,1079,0035,1.0,2023-01-31,월세,37.86,18000,10,(1079-35),1986,연립다세대
11710,송파구,10400,송파동,0112,0008,4.0,2023-01-31,월세,64.84,1000,62,(112-8),2014,연립다세대
11545,금천구,10300,시흥동,0113,0004,2.0,2023-01-31,전세,17.68,12000,0,(113-4),2018,오피스텔
11620,관악구,10200,신림동,0120,0044,3.0,2023-01-31,전세,108.0,27000,0,(120-44),1996,연립다세대
11710,송파구,10700,가락동,0148,0010,4.0,2023-01-31,월세,16.55,11000,3,(148-10),2014,연립다세대
11710,송파구,10500,석촌동,0150,0016,4.0,2023-01-31,월세,24.25,17000,10,(150-16),2003,연립다세대
11710,송파구,10500,석촌동,0166,0012,2.0,2023-01-31,월세,12.0,1000,55,(166-12),2013,연립다세대
11110,종로구,10900,누상동,0166,0096,3.0,2023-01-31,월세,36.44,12000,30,(166-96),1998,연립다세대
11710,송파구,10600,삼전동,0017,0005,4.0,2023-01-31,월세,19.5,7000,20,(17-5),2002,연립다세대
11710,송파구,10400,송파동,0022,0011,2.0,2023-01-31,월세,49.06,13000,37,(22-11),2007,연립다세대
11440,마포구,10800,대흥동,0022,0042,3.0,2023-01-31,전세,18.9,15000,0,(22-42),2020,연립다세대
11215,광진구,10300,구의동,0221,0020,2.0,2023-01-31,월세,55.71,1000,40,(221-20),2006,연립다세대
11215,광진구,10300,구의동,0224,0053,4.0,2023-01-31,전세,18.4,11000,0,(224-53),2012,연립다세대
11500,강서구,10300,화곡동,0024,0023,3.0,2023-01-31,전세,48.21,14600,0,(24-23),2002,연립다세대
11560,영등포구,12800,양평동4가,0260,0002,3.0,2023-01-31,월세,16.1,1000,52,(260-2),2012,연립다세대
11560,영등포구,13200,신길동,0276,0014,-1.0,2023-01-31,전세,38.25,11000,0,(276-14),1995,연립다세대
11620,관악구,10100,봉천동,0028,0030,3.0,2023-01-31,월세,28.32,21000,16,(28-30),2016,연립다세대
11290,성북구,11400,삼선동4가,0323,0000,4.0,2023-01-31,월세,21.11,1000,60,(323-0),2008,연립다세대
11650,서초구,10200,양재동,0352,0012,4.0,2023-01-31,전세,29.97,30000,0,(352-12),2014,연립다세대
